Stock*,Open,High,Low,Last*,Vol*
CHHB-WB,0.13,0.16,0.13,0.16,1975
CHINHIN,1.34,1.35,1.34,1.35,15844
CHINTEK,7.43,7.6,7.41,7.6,71
CHINWEL,1.26,1.26,1.26,1.26,100
CHOOBEE,1.91,1.91,1.88,1.89,606
CHUAN,0.59,0.59,0.56,0.56,3749
CIHLDG,3.85,3.9,3.83,3.84,252
CIMB,4.8,4.8,4.71,4.78,132160
CJCEN,0.52,0.52,0.51,0.515,7159
CLMT,0.62,0.62,0.615,0.62,864
CME,0.045,0.045,0.04,0.04,26419
CME-WA,-,-,-,-,0
CMSB,1.21,1.28,1.2,1.26,109079
CNASIA,0.585,0.6,0.535,0.6,200157
CNASIA-WA,0.32,0.36,0.31,0.335,27022
CNH,0.085,0.09,0.085,0.09,8643
CNOUHUA,0.06,0.075,0.06,0.07,123821
COASTAL,0.815,0.845,0.815,0.82,4539
COCOLND,1.93,1.94,1.93,1.93,274
COMCORP,-,-,-,-,0
COMFORT,1.3,1.39,1.28,1.33,58558
COMFORT-WB,0.34,0.365,0.33,0.335,129689
COMPLET,1.71,1.76,1.7,1.73,7319
COMPUGT,0.015,0.02,0.015,0.015,61796
CRESBLD,0.615,0.615,0.61,0.61,1386
CRESNDO,1.21,1.21,1.21,1.21,31
CSCENIC,0.69,0.72,0.685,0.72,12034
CSCENIC-WA,0.18,0.19,0.175,0.185,9557
CSCSTEL,1.3,1.32,1.29,1.3,4961
CTOS,2.03,2.08,2.01,2.02,137813
CUSCAPI,0.235,0.235,0.23,0.23,54670
CVIEW,-,-,-,-,0
CWG,0.4,0.405,0.395,0.405,1190
CYL,0.475,0.48,0.475,0.48,953
CYPARK,0.94,0.97,0.935,0.965,17364
D&O,5.72,5.77,5.65,5.72,42296
DAIBOCI,2.71,2.72,2.71,2.71,12625
DAIBOCI-WB,0.335,0.335,0.33,0.33,3291
DANCO,0.63,0.63,0.61,0.615,5099
DANCO-WA,0.3,0.3,0.29,0.29,830
DATAPRP,1.06,1.08,1.04,1.07,113721
DAYA,0.01,0.015,0.01,0.01,38526
DAYANG,0.955,0.975,0.955,0.96,23741
DBHD,0.495,0.5,0.495,0.495,48534
DELEUM,0.55,0.55,0.535,0.55,3109
DESTINI,0.3,0.31,0.29,0.3,584093
DFCITY,0.51,0.53,0.51,0.515,4631
DIALOG,2.5,2.5,2.38,2.39,160205
DIGI,4.42,4.48,4.38,4.45,38911
DIGISTA,0.065,0.065,0.065,0.065,8205
DIGISTA-WB,-,-,-,-,0
DIGISTA-WC,0.025,0.025,0.025,0.025,1000
DKLS,1.61,1.72,1.61,1.72,30
DKSH,4.96,5.25,4.96,5.19,10831
DLADY,32.7,32.7,32.5,32.5,82
DNEX,0.785,0.79,0.775,0.78,510402
DNONCE,0.4,0.405,0.395,0.4,17703
DOLMITE,0.035,0.04,0.035,0.04,340
DOLPHIN,0.085,0.085,0.08,0.085,13974
DOLPHIN-WB,0.065,0.065,0.065,0.065,1285
DOMINAN,0.87,0.87,0.83,0.86,27
DPHARMA,1.83,1.83,1.81,1.81,6520
DPS,0.12,0.125,0.12,0.125,9784
DPS-WB,0.055,0.06,0.055,0.06,5501
DRBHCOM,1.62,1.66,1.62,1.64,15247
DSONIC,0.5,0.5,0.485,0.495,18140
DSONIC-WA,0.155,0.155,0.155,0.155,12516
DUFU,4.23,4.28,4.19,4.22,2742
DUTALND,0.38,0.38,0.375,0.38,2214
DYNACIA,0.095,0.1,0.095,0.095,2945
